instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,trial_exposure.started,trial_exposure.stopped,key_resp_exposure.keys,key_resp_exposure.corr,key_resp_exposure.rt,key_resp_exposure.duration,key_resp.keys,exposure_loop.thisRepN,exposure_loop.thisTrialN,exposure_loop.thisN,exposure_loop.thisIndex,exposure_loop.ran,item_num,correct_response,question,path,duration,instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,target,variety,trials_2afc_loop.order
0.0094,2.7459,0,0,0,0,1,"In the following task, you are going to hear a series of conversations.", (press the space bar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7465,16.5828,0,1,1,1,1,It is okay if you don't not 100% understand them!, (press the space bar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5846,24.941,0,2,2,2,1,"After, you will read a sentence about the conversation and decide if it's true or false.", (press the space bar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.943,31.4182,0,3,3,3,1,"If it's true, press '1' (True) and if it's false press '0' (False).", (press the space bar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,31.4249,105.8651,0,0,14.3917,,,0,0,0,1,1,2,1,The mom asked the daughter if she already went to the supermarket.,./stim/exposure_wavs/dr_stimuli_convo.wav,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,105.8686,167.7065,1,1,14.8238,,,0,1,1,0,1,1,1,The son asked the mom if Aunt Marina is okay.,./stim/exposure_wavs/ga_stimuli_convo.wav,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,167.7085,212.4651,0,1,8.7222,,,0,2,2,2,1,3,0,The mom already has rice.,./stim/exposure_wavs/pr_stimuli_convo.wav,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.", (press the spacebar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,212.4682,221.0576,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...", (press the spacebar to continue),668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,221.0598,227.0014,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,0,,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,,,,,,,,,227.0069,232.3804,0,1,4.8473,,0,0,0,6,1,,,,,,,,,,,,,,,,
