Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,2.28,"[2.02, 2.54]",0.00,1.00,1.00,1667
LexTALE,0.05,"[-0.13, 0.21]",0.71,0.70,1.00,2117
EQ,0.25,"[0.08, 0.41]",0.03,1.00,1.00,2000
Absolute interrogative,-0.25,"[-0.58, 0.05]",0.16,0.94,1.00,2012
Caribbean,-0.14,"[-0.47, 0.17]",0.34,0.82,1.00,1925
LexTALE:EQ,0.01,"[-0.16, 0.19]",0.78,0.54,1.00,2120
LexTALE:Absolute interrogative,-0.01,"[-0.17, 0.15]",0.82,0.55,1.00,5375
EQ:Absolute interrogative,-0.01,"[-0.17, 0.15]",0.82,0.53,1.00,4255
LexTALE:Caribbean,-0.10,"[-0.25, 0.06]",0.53,0.88,1.00,5028
EQ:Caribbean,-0.11,"[-0.27, 0.05]",0.45,0.92,1.00,4720
Absolute interrogative:Caribbean,-2.77,"[-3.21, -2.30]",0.00,1.00,1.00,1406
LexTALE:EQ:Absolute interrogative,0.20,"[0.02, 0.38]",0.12,0.99,1.00,4324
LexTALE:EQ:Caribbean,0.08,"[-0.09, 0.25]",0.60,0.82,1.00,4282
LexTALE:Absolute interrogative:Caribbean,0.07,"[-0.15, 0.28]",0.57,0.74,1.00,4494
EQ:Absolute interrogative:Caribbean,-0.17,"[-0.38, 0.04]",0.25,0.94,1.00,3815
LexTALE:EQ:Absolute interrogative:Caribbean,-0.21,"[-0.44, 0.03]",0.16,0.96,1.00,3471
